"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,81.2%,8.0%,8.9%,1.0%,1.0%
Alabama,March*,86.0%,7.4%,5.5%,0.6%,0.4%
"",April*,84.1%,9.8%,5.9%,0.1%,0.1%
"",February*,8.3%,14.1%,11.8%,4.7%,61.1%
Alaska,March*,7.1%,10.2%,10.7%,4.0%,67.9%
"",April*,8.1%,12.4%,16.1%,5.2%,58.1%
"",February*,37.7%,14.5%,35.4%,6.9%,5.5%
Arizona,March*,39.3%,14.9%,34.0%,7.0%,4.7%
"",April*,41.7%,14.9%,32.8%,6.5%,4.1%
"",February*,45.1%,36.3%,9.6%,7.1%,1.9%
Arkansas,March*,45.1%,33.9%,11.1%,8.5%,1.4%
"",April*,25.8%,20.3%,44.7%,4.9%,4.4%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February (II),20.1%,16.2%,32.9%,14.3%,16.5%
"",(II),,,,,
California,March,20.8%,18.9%,31.8%,13.7%,14.8%
"",April (II),21.4%,21.9%,34.4%,12.9%,9.5%
"",February*,41.4%,27.0%,18.9%,6.2%,6.5%
Colorado,March*,43.1%,27.6%,20.6%,5.2%,3.6%
"",April*,40.6%,32.5%,21.4%,2.8%,2.7%
"",February*,96.5%,2.3%,0.8%,0.1%,0.2%
Connecticut,March*,96.3%,2.5%,0.9%,0.1%,0.2%
"",April*,96.4%,2.4%,0.8%,0.2%,0.2%
"",February*,26.2%,34.2%,39.6%,0.0%,0.0%
Delaware,March*,32.0%,34.4%,33.7%,0.0%,0.0%
"",April*,30.6%,32.3%,37.1%,0.0%,0.0%
"",February*,75.9%,5.3%,11.8%,5.7%,1.3%
District of,,,,,,
Columbia,March*,77.6%,4.4%,12.4%,4.2%,1.4%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",April*,75.6%,4.2%,11.2%,7.1%,2.0%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February(III)*,35.0%,26.3%,32.7%,4.0%,2.0%
"",(III)*,,,,,
Florida,March,38.9%,24.6%,29.8%,3.6%,3.1%
"",April(III)*,39.1%,25.5%,28.0%,4.1%,3.3%
"",February*,3.0%,7.1%,17.8%,12.0%,60.2%
Georgia,March*,3.6%,8.1%,19.1%,13.2%,55.9%
"",April*,4.0%,8.6%,21.3%,14.0%,52.1%
"",February*,68.4%,7.4%,22.8%,0.6%,0.8%
Hawaii,March*,56.2%,13.8%,28.0%,1.1%,0.9%
"",April*,64.2%,6.9%,26.7%,1.2%,1.0%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,73.8%,13.8%,11.3%,0.8%,0.4%
Idaho,March*,74.9%,13.6%,10.7%,0.3%,0.5%
"",April*,74.1%,16.0%,9.5%,0.3%,0.1%
"",February*,18.6%,15.6%,24.4%,5.5%,35.9%
Illinois,March*,18.9%,16.0%,25.9%,5.4%,33.8%
"",April*,20.9%,14.7%,23.0%,5.8%,35.6%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February(III)*,4.9%,6.7%,47.9%,29.1%,11.4%
Indiana,March(III)*,5.1%,7.7%,49.8%,30.8%,6.6%
"",April(III)*,4.7%,7.4%,53.2%,28.7%,6.0%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,5.4%,18.0%,62.0%,9.2%,5.3%
Iowa,March*,9.8%,44.6%,39.7%,3.8%,2.1%
"",April*,13.3%,44.6%,38.1%,2.6%,1.4%
"",February*,1.7%,22.8%,52.9%,15.4%,7.2%
Kansas,March*,4.6%,15.6%,50.8%,22.0%,7.1%
"",April*,3.5%,15.4%,48.3%,23.3%,9.5%
"",February*,32.3%,9.6%,14.6%,6.5%,37.0%
