Location,State is Able to Make Real-Time Medicaid Eligibility Determinations (<24 Hours),Medicaid Applications Can be Submitted Online at the State Level,Medicaid Applications Can be Submitted by Telephone at the State Level,Individual Can Create an Online Account for Medicaid
United States,47 Yes,51 Yes,45 Yes,43 Yes
Alabama,Yes,Yes,Yes,Yes
Alaska,No,Yes,No,No
Arizona,Yes,Yes,Yes,Yes
Arkansas,Yes,Yes,Yes,No
California,Yes,Yes,Yes,Yes
Colorado,Yes,Yes,Yes,Yes
Connecticut,Yes,Yes,Yes,Yes
Delaware,Yes,Yes,Yes,Yes
District of Columbia,Yes,Yes,Yes,Yes
Florida,Yes,Yes,Yes,Yes
Georgia,Yes,Yes,Yes,Yes
Hawaii,Yes,Yes,Yes,Yes
Idaho,Yes,Yes,Yes,Yes
Illinois,Yes,Yes,Yes,Yes
Indiana,Yes,Yes,Yes,Yes
Iowa,Yes,Yes,Yes,No
Kansas,Yes,Yes,Yes,No
Kentucky,Yes,Yes,Yes,Yes
Louisiana,Yes,Yes,Yes,Yes
Maine,Yes,Yes,No,Yes
Maryland,Yes,Yes,Yes,Yes
Massachusetts,Yes,Yes,Yes,Yes
Michigan,Yes,Yes,Yes,Yes
Minnesota,Yes,Yes,No,Yes
Mississippi,Yes,Yes,Yes,No
Missouri,Yes,Yes,Yes,No
Montana,Yes,Yes,Yes,Yes
Nebraska,Yes,Yes,Yes,Yes
Nevada,Yes,Yes,Yes,Yes
New Hampshire,Yes,Yes,Yes,Yes
New Jersey,Yes,Yes,Yes,Yes
New Mexico,Yes,Yes,Yes,Yes
New York,Yes,Yes,Yes,Yes
North Carolina,Yes,Yes,No,No
North Dakota,Yes,Yes,Yes,Yes
Ohio,Yes,Yes,Yes,Yes
Oklahoma,Yes,Yes,Yes,Yes
Oregon,Yes,Yes,Yes,Yes
Pennsylvania,Yes,Yes,Yes,Yes
Rhode Island,Yes,Yes,Yes,Yes
South Carolina,Not reported,Yes,Not reported,Yes
South Dakota,No,Yes,Yes,No
Tennessee,Yes,Yes,Yes,Yes
Texas,No,Yes,Yes,Yes
Utah,Yes,Yes,No,Yes
Vermont,Yes,Yes,Yes,Yes
Virginia,Yes,Yes,Yes,Yes
Washington,Yes,Yes,Yes,Yes
West Virginia,Yes,Yes,Yes,Yes
Wisconsin,Yes,Yes,Yes,Yes
Wyoming,Yes,Yes,Yes,Yes
