State,Month,"Percent of Determinations Processed
< 24 hours","Percent of Determinations Processed
1 - 7 Days","Percent of Determinations Processed
8 - 30 Days","Percent of Determinations Processed
31- 45 Days","Percent of Determinations Processed
45+ Days"
Alabama,February*,0.81,0.08,0.09,0.01,0.01
Alabama,March*,0.86,0.07,0.06,0.01,0.00
Alabama,April*,0.84,0.10,0.06,0.00,0.00
Alaska,February*,0.08,0.14,0.12,0.05,0.61
Alaska,March*,0.07,0.10,0.11,0.04,0.68
Alaska,April*,0.08,0.12,0.16,0.05,0.58
Arizona,February*,0.38,0.15,0.35,0.07,0.06
Arizona,March*,0.39,0.15,0.34,0.07,0.05
Arizona,April*,0.42,0.15,0.33,0.07,0.04
Arkansas,February*,0.45,0.36,0.10,0.07,0.02
Arkansas,March*,0.45,0.34,0.11,0.09,0.01
Arkansas,April*,0.26,0.20,0.45,0.05,0.04
California,February (II),0.20,0.16,0.33,0.14,0.17
California,March (II),0.21,0.19,0.32,0.14,0.15
California,April (II),0.21,0.22,0.34,0.13,0.10
Colorado,February*,0.41,0.27,0.19,0.06,0.07
Colorado,March*,0.43,0.28,0.21,0.05,0.04
Colorado,April*,0.41,0.33,0.21,0.03,0.03
Connecticut,February*,0.97,0.02,0.01,0.00,0.00
Connecticut,March*,0.96,0.03,0.01,0.00,0.00
Connecticut,April*,0.96,0.02,0.01,0.00,0.00
Delaware,February*,0.26,0.34,0.40,0.00,0.00
Delaware,March*,0.32,0.34,0.34,0.00,0.00
Delaware,April*,0.31,0.32,0.37,0.00,0.00
District of Columbia,February*,0.76,0.05,0.12,0.06,0.01
District of Columbia,March*,0.78,0.04,0.12,0.04,0.01
District of Columbia,April*,0.76,0.04,0.11,0.07,0.02
Florida,February(III)*,0.35,0.26,0.33,0.04,0.02
Florida,March(III)*,0.39,0.25,0.30,0.04,0.03
Florida,April(III)*,0.39,0.26,0.28,0.04,0.03
Georgia,February*,0.03,0.07,0.18,0.12,0.60
Georgia,March*,0.04,0.08,0.19,0.13,0.56
Georgia,April*,0.04,0.09,0.21,0.14,0.52
Hawaii,February*,0.68,0.07,0.23,0.01,0.01
Hawaii,March*,0.56,0.14,0.28,0.01,0.01
Hawaii,April*,0.64,0.07,0.27,0.01,0.01
Idaho,February*,0.74,0.14,0.11,0.01,0.00
Idaho,March*,0.75,0.14,0.11,0.00,0.01
Idaho,April*,0.74,0.16,0.10,0.00,0.00
Illinois,February*,0.19,0.16,0.24,0.06,0.36
Illinois,March*,0.19,0.16,0.26,0.05,0.34
Illinois,April*,0.21,0.15,0.23,0.06,0.36
Indiana,February(III)*,0.05,0.07,0.48,0.29,0.11
Indiana,March(III)*,0.05,0.08,0.50,0.31,0.07
Indiana,April(III)*,0.05,0.07,0.53,0.29,0.06
Iowa,February*,0.05,0.18,0.62,0.09,0.05
Iowa,March*,0.10,0.45,0.40,0.04,0.02
Iowa,April*,0.13,0.45,0.38,0.03,0.01
Kansas,February*,0.02,0.23,0.53,0.15,0.07
Kansas,March*,0.05,0.16,0.51,0.22,0.07
Kansas,April*,0.04,0.15,0.48,0.23,0.10
