state_abbreviation,state_name,report_date,state_expanded_medicaid,preliminary_updated,final_report,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_c640,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_9919,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application__fo_e28a,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations__footnotes,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment__footnotes,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_enrollment,total_medicaid_enrollment__footnotes,total_chip_enrollment,total_chip_enrollment__footnotes
AL,Alabama,2013-09-01,N,U,Y,,,,,,,,,,,,,,,799176,,,,,
AL,Alabama,2017-06-01,N,P,N,16449,,,,16449,,25370,,3264,,28634,,629763,,888314,,731915,,156399,
AL,Alabama,2017-06-01,N,U,Y,16449,,,,16449,,25370,,3264,,28634,,629763,,888314,,731915,,156399,
AL,Alabama,2017-07-01,N,P,N,17118,,,,17118,,25311,,3352,,28663,,632822,,893193,,735619,,157574,
AL,Alabama,2017-07-01,N,U,Y,17118,,,,17118,,25313,,3352,,28665,,632822,,893193,,735619,,157574,
AL,Alabama,2017-08-01,N,P,N,20055,,,,20055,,30256,,4205,,34461,,633050,,893262,,734934,,158328,
AL,Alabama,2017-08-01,N,U,Y,20055,,,,20055,,30256,,4205,,34461,,633050,,893262,,734934,,158328,
AL,Alabama,2017-09-01,N,P,N,18308,,,,18308,,27798,,3592,,31390,,632920,,892651,,734507,,158144,
AL,Alabama,2017-09-01,N,U,Y,18308,,,,18308,,27798,,3592,,31390,,632920,,892651,,734507,,158144,
AL,Alabama,2017-10-01,N,P,N,18913,,,,18913,,28167,,4200,,32367,,634304,,894251,,735171,,159080,
AL,Alabama,2017-10-01,N,U,Y,18913,,,,18913,,28167,,4200,,32367,,634304,,894251,,735171,,159080,
AL,Alabama,2017-11-01,N,P,N,17690,,,,17690,,25298,,3781,,29079,,635937,,895732,,723068,,172664,
AL,Alabama,2017-11-01,N,U,Y,17690,,,,17690,,25298,,3781,,29079,,635937,,895732,,723068,,172664,
