,State,Partisan Lean
0,District of Columbia,68.2
1,Massachusetts,32.6
2,Hawaii,31.6
3,Vermont,27.5
4,Maryland,25.9
5,California,25.5
6,Rhode Island,24.0
7,New York,20.0
8,Delaware,13.7
9,Illinois,13.4
10,Washington,12.4
11,Connecticut,12.1
12,New Jersey,12.0
13,Oregon,10.6
14,New Mexico,7.0
15,Colorado,6.4
16,Virginia,4.6
17,Maine,4.0
18,Minnesota,1.9
19,New Hampshire,0.3
20,Michigan,-1.6
21,Nevada,-2.5
22,Pennsylvania,-2.9
23,Wisconsin,-4.1
24,North Carolina,-4.8
25,Georgia,-7.4
26,Arizona,-7.6
27,Florida,-7.6
28,Iowa,-9.7
29,Texas,-12.0
30,Ohio,-12.4
31,Alaska,-14.6
32,South Carolina,-18.6
33,Indiana,-20.0
34,Montana,-20.0
35,Mississippi,-20.3
36,Louisiana,-20.5
37,Kansas,-20.7
38,Missouri,-21.2
39,Nebraska,-24.8
40,Utah,-26.3
41,Kentucky,-27.1
42,Tennessee,-29.4
43,Alabama,-29.6
44,Arkansas,-31.8
45,South Dakota,-32.2
46,West Virginia,-35.5
47,Idaho,-37.0
48,Oklahoma,-37.2
49,North Dakota,-37.2
50,Wyoming,-49.7
